-1	-0.085	-0.957058598785753
-0.966	0.017	-0.919379751782593
-0.932	-0.322	-0.939376088161007
-0.898	-0.966	-1.12614157516496
-0.864	-0.017	-0.828277600871546
-0.831	0.119	-0.811823671103371
-0.797	-0.288	-0.816798438294109
-0.763	-0.186	-0.787778750939147
-0.729	0.695	-0.960675514882305
-0.695	-0.458	-0.807650850961247
-0.661	0.22	-0.793883622157168
-0.627	0.254	-0.804381618375358
-0.593	-0.525	-0.789729351718569
0.119	-0.254	-1.59045524936863
0.153	-0.661	-0.803191296730592
0.186	0.797	-0.800337779709856
0.22	-0.492	-0.971561845544414
0.254	0.288	-1.32248400938146
0.288	0.051	-1.56020979524483
0.322	0.831	-0.84942308928301
0.356	-0.695	-0.786642085306599
0.39	-0.051	-1.29851208645456
0.424	-0.22	-1.09492225700204
0.458	0.593	-0.782766916817017
0.492	0.966	-1.03374109927176
0.525	0.39	-0.82033367574766
0.559	-0.424	-0.79184270698814
0.593	-0.559	-0.798691061907579
0.627	-0.898	-1.04325308930141
0.661	0.153	-0.803191296730592
0.695	-0.593	-0.868936962831789
0.729	0.525	-0.855489836326442
0.763	0.661	-0.962974676058419
0.797	-0.627	-0.967546784518726
0.831	0.559	-0.954960429562225
0.864	-0.831	-1.10971886611793
0.898	-0.763	-1.10017926917906
0.932	0.458	-0.991584686787945
0.966	0.627	-1.08487285400454
1	-0.39	-1.02427366193154
